name	ratings	date	helpful	comment	comment_len
남승균	5	2019-02-08	0	할인 쿠폰이 상당히 효율적으로 제공되서 넘 좋음	26
박한규	5	2019-05-02	0	어제 처음 해봤는데 배달하시는 분도 웃으시면서 인사하시고 족발 시켰는데 10분만에 온듯했어요. 좋아요	56
박하영	5	2019-05-01	0	편하고 좋아요.할인도 타어플보다 좋음	20
Saladin BlueBird	5	2019-03-13	0	이 어플만없었어도 내 지갑은 두꺼워지고 허리는 얇아졌을껀데 맛의 행복을 누렸으니 별점만두고 갑니다.	55
홍태화	5	2018-09-15	0	배달의 민족덕분에 할인쿠폰사용해서 싸게 먹었네요!!!굿입니다.	34
서영준	5	2020-11-10	0	몇년째 잘 활용중입니다 별평이 왜 작은지 모르겠네요 참으로 불평많은사람들~~~번창하세요	48
이세빈	5	2019-07-05	0	동네가아직 신도시초기라 많은상가들이없어서그렇지 앱은정말좋아요ㅎ할인도되고ㅎ	40
Google 사용자	5	2019-03-15	0	능이영계탕 너무좋아요 능이향도 좋고싱싱하고국물도구수하고 밥도맛있어요	37
전주희	5	2019-04-30	0	다른 배달어플 다 지우고 여기만 이용합니다. 3년동안 타어플과 차이점 경험해본 결과 배민이 최고였음!!	57
최주병	5	2018-11-13	0	계속 고객을 위해 편의성 업데이트를 자주해주는거 같습니다	31
이교동	5	2019-10-26	0	배달 활인행사도 많이하고 배달도 빠르고 아주좋아요	27
1분수필	5	2019-08-17	0	11번가서 쿠폰 바로와서 싸게 먹었어요!	22
Google 사용자	5	2019-02-22	0	편하게 잘 시켜먹었습니다~	14
깡처리	5	2019-07-26	0	할인도 많이 하고 좋아요 ㅎ	15
여김자영	5	2019-09-02	0	요즘 집에서 즐기는 앱중하나에요 편리하고 빠른배송에 아주 신세계네요	37
Google 사용자	5	2019-02-22	0	집에서 편하게 먹을 수 있어서 좋아요. 이벤트 및 배송 음식 다 좋아요.	40
석배이	5	2018-11-12	0	세상 좋아져서 휴대폰으로 배달까지..	20
Doyeong Leigh	5	2020-04-13	0	독일의 민족 파이팅! 전 쿠폰 뿌릴 때만 시켜먹는 중계자(배민, 요기요 등)와 가게 주인 사이에서 합리적인 선택을 하며 살겠습니다.	73
박고한	5	2019-01-13	0	다양한 음식과 품질 좋아요	14
hongyoul park	5	2019-04-08	0	한솔야식 맛과 양 둘다 만족	15
이지형	5	2019-09-15	0	배달맛집! 주변 지인들 추천 해주고 싶은~♡	24
올해도대박	5	2019-04-22	0	맛있어요..새로생겼는데 가지수 한두가지씩 시켰는데..시킨거 다 맛나네요..번창하세요^^	48
김혜진	5	2019-06-10	0	메뉴도 다양하고 배달 주문을 편하게 시킬수 있어 조아요	30
대박	5	2019-03-30	0	사용이 편리하네요 몇번 누르면 음식이 집 앞에 ㅎㅎ 번창하세요	34
복덩이	5	2018-12-29	0	편리하고 빠르게 주문 결제 배달까지 완벽하네요	25
이정심	5	2019-02-23	0	메뉴 분류가 잘 되어 있어서 주문하기 편한하네요	26
이철호	5	2019-02-10	0	쿠폰도 많이 주고 어플도 편리하게 잘 만들었네요	26
조은아	5	2021-03-31	0	저희 엄마가 이걸 써요 엄마가 별???????????????????????????????????이정도래요 압으로 잘 쓰께여	68
이희주	5	2018-11-05	0	먹고싶은 음식을 먹고싶은 곳에서의 경험이 강화되어 가는거같아요. 좋아요!	40
brownecute	5	2019-04-09	0	음식 배달 해 먹기 아주 편합니다	18
김현진	5	2019-09-12	0	간단하게 주문하고 편하게 먹을수 있어서 만족합니다	27
EUNGNAM KIM	5	2019-02-03	0	너무너무 빠르네요 만족합니다 그러나 배달하시는분들 건강조심하시고 안전운전하시길 바랍니다 행복하시고 모두 부자되세요	63
좀좀비고	5	2018-12-30	0	모든지역이다배달되면좋은데ㅜ안되는곳이많아서아쉬워요	26
유은지	5	2019-04-26	0	캐릭터 맘에 들어요~ 이벤트 정말 좋아요! 피자 만원할인해서 잘먹었습니다~♡	42
갱갱	5	2019-01-20	0	자취하고 있는데, 매 식사때마다 아주 유용하게 이용하고 있어요:)	36
